user_id,education,experience_years,skills,interests,certification,learning_source,projects_count,dominant_project_domain,target_career
a99efa08,BTech,6,"react, html, css, nodejs, webpack",mobile development,Google UX Design,workplace,3,web,Web Developer
11ac800a,Diploma,1,"user research, css, adobe xd, wireframing",product strategy,Meta Front-End Developer,online-course,0,none,UI/UX Designer
6e401fe3,MBA,6,"business analysis, roadmapping, product management",business intelligence,Scrum Master,university,7,business,Product Manager
f6bd3729,BSc,3,"tableau, google analytics, data analysis, pandas",machine learning,Microsoft Power BI,university,4,data,Data Analyst
105a11b4,BSc,2,"excel, business analysis, sql, pandas, google analytics",machine learning,Tableau Desktop,university,3,data,Data Analyst
af2b7875,BCA,5,"flutter, git, kotlin, android, javascript",mobile development,,workplace,3,mobile,Mobile Developer
cac2388e,BSc,5,"linux, ethical hacking, cryptography, cybersecurity, networking, firewall",backend development,CISSP,workplace,6,security,Cybersecurity Analyst
5ee5557e,BCA,5,"statistics, tableau, power bi, sql, r",machine learning,IBM Data Analyst,bootcamp,7,data,Data Analyst
0dbda6d7,BBA,2,"agile, excel, requirements gathering",growth marketing,AWS DevOps,self-taught,5,business,Business Analyst
c1a1310e,BSc,4,"digital marketing, seo, content writing, google analytics, excel",product strategy,Meta Marketing,workplace,6,marketing,Digital Marketer
79a58529,MBA,5,"mlflow, tensorflow, pytorch, kubernetes, machine learning, deep learning",data engineering,Coursera ML,bootcamp,4,ml,ML Engineer
f9efd6c8,BTech,1,"bash, git, kubernetes, ci/cd",backend development,Google Cloud Professional,online-course,2,devops,DevOps Engineer
6589299c,BSc,3,"css, react, figma",mobile development,Udemy Web Dev,online-course,3,web,Web Developer
5de6a13a,BBA,6,"roadmapping, business analysis, jira, python, okrs",growth marketing,Google Data Analytics,self-taught,5,business,Product Manager
d29dd6cc,BCA,2,"html, css, nodejs, next.js, react, typescript",frontend development,Udemy Web Dev,online-course,2,web,Web Developer
eb2f00f2,Diploma,3,"figma, product management, prototyping, ui/ux, html",ux research,Meta Front-End Developer,university,3,design,UI/UX Designer
948c447f,BBA,1,"power bi, agile, excel, requirements gathering",product strategy,,online-course,1,business,Business Analyst
d02a55e5,BBA,1,"digital marketing, copywriting, seo, google analytics, power bi",business intelligence,,workplace,0,none,Digital Marketer
7fb1ec68,BBA,5,"user research, data analysis, agile, jira",product strategy,,university,4,business,Product Manager
56d499b0,BSc,0,"python, nodejs, redis, adobe xd",cloud infrastructure,,workplace,0,none,Backend Developer
0fd7e6fd,BBA,4,"ui/ux, adobe xd, prototyping, css, figma",product strategy,,bootcamp,3,design,UI/UX Designer
29058dd5,Diploma,5,"product management, adobe xd, css, wireframing, ui/ux",ux research,,university,5,design,UI/UX Designer
ed7c99a0,BBA,0,"content writing, sql, seo, excel, social media, python",business intelligence,,online-course,0,none,Digital Marketer
a2a28526,BTech,0,"nodejs, microservices, git, python",cloud infrastructure,CBAP,online-course,3,web,Backend Developer
daaccbbe,MBA,1,"figma, javascript, css, react, terraform",mobile development,,workplace,1,web,Web Developer
7cc809dd,BSc,5,"business analysis, roadmapping, jira, sql, excel",product strategy,,workplace,7,business,Product Manager
844fafb2,BBA,3,"google analytics, digital marketing, ads, content writing, power bi",business intelligence,Google Analytics,workplace,3,marketing,Digital Marketer
e803253f,BBA,6,"data analysis, product management, agile, business analysis",growth marketing,,online-course,3,business,Product Manager
d76aae1d,Diploma,4,"product management, adobe xd, prototyping, ui/ux",product strategy,,workplace,5,design,UI/UX Designer
ca2cd19b,MBA,2,"google analytics, seo, content writing, copywriting, ads",product strategy,Google Analytics,online-course,2,marketing,Digital Marketer
d6b2f986,MCA,2,"deep learning, linux, tensorflow, feature engineering",machine learning,DeepLearning.AI,university,2,ml,ML Engineer
330d81f5,MBA,10,"excel, python, user research, roadmapping",product strategy,,workplace,9,business,Product Manager
f94b85c2,BTech,3,"kubernetes, docker, azure, python, google cloud",cloud infrastructure,,university,5,cloud,Cloud Engineer
cea21589,MCA,2,"data analysis, reporting, excel, statistics, power bi, tableau, google analytics",machine learning,Google Data Analytics,bootcamp,3,data,Data Analyst
c66be5c7,BBA,2,"typescript, react, html, javascript",frontend development,,online-course,4,web,Web Developer
3e4c1ec3,BTech,1,"cloud computing, docker, networking, aws",cloud infrastructure,Google Cloud Professional,workplace,1,cloud,Cloud Engineer
53adee7e,MCA,4,"digital marketing, google analytics, excel, seo, ads",product strategy,Meta Marketing,self-taught,5,marketing,Digital Marketer
9a4a7a91,BBA,6,"machine learning, numpy, data analysis, statistics, tableau, python",machine learning,Coursera ML,workplace,6,data,Data Scientist
c9bfae82,MCA,3,"process mapping, business analysis, sql, tableau, jira, dart",growth marketing,CBAP,university,2,business,Business Analyst
308e7549,BCA,2,"statistics, machine learning, sql, tableau, javascript",data engineering,DeepLearning.AI,self-taught,4,data,Data Scientist
27a6b8ae,BSc,5,"docker, cloud computing, google cloud, networking, aws, dart",backend development,,self-taught,7,cloud,Cloud Engineer
b411d736,Diploma,3,"requirements gathering, sql, tableau, business analysis, excel",growth marketing,CBAP,university,5,business,Business Analyst
39a9613c,MCA,6,"ethical hacking, networking, siem, cybersecurity, cryptography",cloud infrastructure,CEH Ethical Hacking,university,7,security,Cybersecurity Analyst
b941e64e,MCA,1,"python, nodejs, redis, sql",backend development,,university,3,web,Backend Developer
0b84eb51,MCA,1,"networking, azure, cloud computing, kubernetes",backend development,Google Cloud Professional,university,3,cloud,Cloud Engineer
00d70ebb,BTech,2,"google analytics, excel, email marketing, digital marketing, seo",product strategy,,self-taught,5,marketing,Digital Marketer
5a5aedb9,BSc,1,"statistics, excel, python, power bi, sql",machine learning,,university,3,data,Data Analyst
ea1a76a0,Diploma,3,"firebase, android, javascript, dart, rest apis",mobile development,,workplace,3,mobile,Mobile Developer
bf071229,BSc,1,"excel, data analysis, business analysis, power bi, pandas",machine learning,Tableau Desktop,university,0,none,Data Analyst
3a1483b4,MBA,4,"excel, roadmapping, okrs, wireframing, jira",growth marketing,Coursera PM,workplace,2,business,Product Manager
d156fe5a,BTech,8,"ci/cd, terraform, python, linux, jenkins",devops,,workplace,8,devops,DevOps Engineer
41529511,MCA,7,"deep learning, machine learning, sql",business intelligence,,university,3,data,Data Scientist
6bec2cfd,MBA,4,"data analysis, sql, power bi, statistics, terraform",machine learning,,university,2,data,Data Scientist
9010e570,BCA,5,"css, typescript, sass, html, javascript, user research",mobile development,Google UX Design,online-course,6,web,Web Developer
04742738,BCA,5,"python, sql, docker, tensorflow, deep learning",data engineering,AWS ML Specialty,university,6,ml,ML Engineer
c783f650,BTech,3,"html, mongodb, nodejs, sql",frontend development,Kubernetes CKA,online-course,3,web,Full Stack Developer
96ed1452,MBA,6,"python, machine learning, pytorch, kubernetes, deep learning, feature engineering",devops,AWS ML Specialty,online-course,8,ml,ML Engineer
490eaefa,MCA,1,"python, machine learning, r, business analysis, deep learning",machine learning,IBM Data Science,workplace,2,data,Data Scientist
b2954c94,BTech,6,"machine learning, docker, pytorch, python, excel",data engineering,,workplace,3,ml,ML Engineer
2141b4b8,BTech,7,"microservices, nodejs, sql, rest apis",cloud infrastructure,MongoDB Associate,university,3,web,Backend Developer
b41de4c1,BTech,2,"ansible, docker, kubernetes",cloud infrastructure,,online-course,3,devops,DevOps Engineer
e6507ff4,BCA,4,"networking, linux, firewall, cryptography",cybersecurity,CompTIA Security+,workplace,2,security,Cybersecurity Analyst
4a0ef841,MBA,3,"python, jira, wireframing, product management",business intelligence,,bootcamp,4,business,Product Manager
cb23695d,MBA,1,"prototyping, figma, user research, html, wireframing, javascript, seo",ux research,,university,3,design,UI/UX Designer
be94f182,BSc,6,"docker, machine learning, deep learning, tensorflow, feature engineering",data engineering,DeepLearning.AI,university,6,ml,ML Engineer
fa5a06b0,BSc,6,"excel, business analysis, power bi, jira, agile",business intelligence,CBAP,online-course,7,business,Business Analyst
5d7293cc,MBA,5,"sql, statistics, numpy, data analysis, pandas, machine learning",data engineering,Google Data Analytics,online-course,9,data,Data Scientist
c87f5d99,MBA,5,"sql, python, docker, nodejs, git",cloud infrastructure,Oracle Java,self-taught,5,web,Backend Developer
65e851c4,BSc,1,"html, figma, react, sass",frontend development,,workplace,1,web,Web Developer
60e30334,BBA,1,"tableau, product management, agile, business analysis",growth marketing,,online-course,0,none,Business Analyst
555862de,BSc,7,"linux, terraform, ansible, javascript",backend development,,self-taught,3,devops,DevOps Engineer
29daecdc,Diploma,3,"user research, ui/ux, sketch, css, figma",product strategy,Google UX Design,university,3,design,UI/UX Designer
670bc3a5,BTech,2,"linux, docker, python, aws, kubernetes",devops,,workplace,3,cloud,Cloud Engineer
926736fd,BBA,4,"tableau, sql, agile, excel, process mapping",business intelligence,Microsoft Power BI,university,5,business,Business Analyst
ca29f0d2,MBA,6,"content writing, copywriting, seo, excel",business intelligence,,self-taught,3,marketing,Digital Marketer
32c0b8d1,Diploma,3,"python, tableau, excel, agile, cloud computing",business intelligence,Scrum Master,self-taught,5,business,Business Analyst
070fc3a4,MCA,4,"mongodb, postgresql, java, rest apis",devops,,university,5,web,Backend Developer
e4832bf2,MBA,8,"agile, roadmapping, wireframing, excel, okrs",product strategy,PMP,university,10,business,Product Manager
1ee5f9e3,MBA,7,"sql, nodejs, docker, mongodb, html",devops,Udemy Web Dev,self-taught,7,web,Full Stack Developer
9978850b,BSc,1,"statistics, python, excel, power bi",business intelligence,IBM Data Analyst,university,0,none,Data Analyst
8f66ac78,BBA,4,"dart, firebase, git, javascript, flutter, ios",frontend development,Udemy Mobile Dev,bootcamp,7,mobile,Mobile Developer
37dd40f8,BSc,2,"excel, google analytics, power bi, pandas",data engineering,,workplace,3,data,Data Analyst
b837fb34,BSc,2,"cryptography, linux, cybersecurity",backend development,CompTIA Security+,online-course,3,security,Cybersecurity Analyst
58e2301d,BCA,4,"tensorflow, machine learning, python, deep learning, feature engineering",machine learning,AWS ML Specialty,workplace,5,ml,ML Engineer
6687aa78,Diploma,6,"html, sketch, product management, figma, ui/ux",ux research,,workplace,4,design,UI/UX Designer
2f061616,MBA,3,"content writing, seo, power bi, excel",business intelligence,HubSpot Marketing,university,5,marketing,Digital Marketer
61ee0578,Diploma,5,"kotlin, javascript, dart",mobile development,Apple Swift,workplace,4,mobile,Mobile Developer
c40edacb,BTech,3,"python, tensorflow, feature engineering, machine learning, mlflow",devops,TensorFlow Developer,university,3,ml,ML Engineer
5ed51dd0,BCA,2,"data analysis, sql, business analysis, python, statistics, power bi",machine learning,IBM Data Science,online-course,3,data,Data Scientist
5c13ec0f,BCA,4,"javascript, react, typescript",ux research,,university,4,web,Web Developer
af559237,Diploma,1,"javascript, webpack, nodejs, css, react",frontend development,,university,1,web,Web Developer
4ea77322,BSc,5,"linux, cybersecurity, networking, siem",backend development,CEH Ethical Hacking,online-course,4,security,Cybersecurity Analyst
31433475,MCA,7,"docker, machine learning, python, feature engineering",devops,,workplace,6,ml,ML Engineer
fa2b7b79,Diploma,6,"ios, dart, flutter, javascript",backend development,,workplace,5,mobile,Mobile Developer
f9718910,BBA,4,"agile, jira, product management, okrs, sql",product strategy,Coursera PM,university,2,business,Product Manager
e172716e,BCA,4,"rest apis, sql, postgresql, java",cloud infrastructure,,university,5,web,Backend Developer
9ac1754b,MBA,1,"seo, excel, google analytics, sql, content writing, ads",business intelligence,HubSpot Marketing,workplace,3,marketing,Digital Marketer
fc3e449c,BSc,6,"pandas, python, sql, machine learning",data engineering,DeepLearning.AI,university,5,data,Data Scientist
ae52befe,BBA,6,"product management, user research, okrs, roadmapping",product strategy,,university,7,business,Product Manager
45177056,BTech,5,"next.js, nodejs, css",devops,freeCodeCamp,university,5,web,Full Stack Developer
5bd70250,BTech,2,"firebase, javascript, android, git, java",frontend development,Flutter Certified,self-taught,4,mobile,Mobile Developer
24d2300b,MCA,4,"business analysis, tableau, statistics, python, pandas",data engineering,,university,4,data,Data Scientist
9a35e688,BCA,6,"jira, product management, sql, excel, cloud computing",business intelligence,,online-course,6,business,Product Manager
ad5dc94c,BTech,3,"data analysis, power bi, excel, pandas, html",business intelligence,,online-course,2,data,Data Analyst
c2d27d6a,BTech,6,"docker, ci/cd, terraform, bash",cloud infrastructure,Google Cloud Professional,online-course,7,devops,DevOps Engineer
a77fc1e9,BCA,4,"react native, swift, dart, flutter",mobile development,,workplace,5,mobile,Mobile Developer
5c176a3b,Diploma,1,"python, pandas, machine learning, sql",data engineering,IBM Data Science,workplace,1,data,Data Scientist
a179fec4,MCA,6,"google cloud, networking, aws, azure",devops,,workplace,7,cloud,Cloud Engineer
33c71510,Diploma,3,"html, sketch, ui/ux, adobe xd, wireframing",product strategy,Meta Front-End Developer,university,4,design,UI/UX Designer
2fbaeff6,MCA,4,"postgresql, sql, python, microservices, nodejs",devops,,self-taught,2,web,Backend Developer
9c9f871d,BSc,5,"linux, cryptography, networking, firewall, sql",cloud infrastructure,CompTIA Security+,self-taught,5,security,Cybersecurity Analyst
0d3f1ea0,BBA,6,"digital marketing, seo, ads, copywriting, google analytics",growth marketing,HubSpot Marketing,workplace,5,marketing,Digital Marketer
883a2242,BTech,4,"python, linux, kubernetes, spark, pytorch, tensorflow",devops,DeepLearning.AI,workplace,4,ml,ML Engineer
8eabd886,BCA,2,"product management, sketch, ui/ux, css, adobe xd, seo",frontend development,,online-course,3,design,UI/UX Designer
6df6cff8,BBA,1,"seo, content writing, google analytics, ads",product strategy,,university,0,none,Digital Marketer
c1635882,BTech,3,"linux, jenkins, kubernetes, git",devops,Google Cloud Professional,online-course,2,devops,DevOps Engineer
5149c0f1,BCA,0,"html, nodejs, javascript, react, next.js",mobile development,Meta Front-End Developer,workplace,2,web,Web Developer
880427c4,BTech,8,"docker, kubernetes, ansible, ci/cd, aws, firebase",devops,,online-course,5,devops,DevOps Engineer
ca1edd73,Diploma,0,"swift, flutter, firebase",backend development,Flutter Certified,university,0,none,Mobile Developer
3a9f72ca,BBA,5,"power bi, seo, email marketing, digital marketing",growth marketing,Google Analytics,workplace,7,marketing,Digital Marketer
7469eb3e,BCA,4,"spark, machine learning, python, docker, pytorch, roadmapping",machine learning,DeepLearning.AI,self-taught,2,ml,ML Engineer
796de33b,BBA,3,"figma, prototyping, ui/ux, adobe xd",ux research,Google UX Design,online-course,5,design,UI/UX Designer
6eba5c6a,MBA,6,"statistics, sql, machine learning, pandas, power bi",machine learning,DeepLearning.AI,bootcamp,6,data,Data Scientist
b244a4a1,Diploma,2,"firebase, kotlin, react native, sql, flutter",frontend development,Apple Swift,university,5,mobile,Mobile Developer
6e6a2a4b,MBA,6,"seo, ads, social media, content writing, google analytics",product strategy,Meta Marketing,university,7,marketing,Digital Marketer
634d0fc2,BBA,7,"wireframing, product management, jira",business intelligence,Coursera PM,workplace,7,business,Product Manager
