user_id,education,experience_years,skills,interests,certification,target_career
95ae387b,BSc,8,"['java', 'javascript', 'excel', 'python', 'nodejs', 'sql']",['web development'],Google Data Analytics,Backend Developer
54df0991,Diploma,2,"['aws', 'figma', 'html', 'ui/ux', 'networking', 'sql']",['design'],None,UI/UX Designer
747aa8ea,MBA,5,"['figma', 'html', 'javascript', 'machine learning', 'azure']",['web development'],Coursera ML,Web Developer
68420d0b,MBA,6,"['c++', 'figma', 'java']",['design'],None,UI/UX Designer
7d7edcbb,BTech,10,"['aws', 'product management', 'excel', 'data analysis', 'business']",['business'],Azure Fundamentals,Product Manager
a3379e1a,MBA,7,"['machine learning', 'content writing', 'python']",['data'],Udemy Web Dev,Data Scientist
f36d29e1,BSc,0,"['aws', 'cloud computing', 'deep learning', 'azure', 'nodejs']",['ai'],Udemy Web Dev,Cloud Engineer
94471ce9,MCA,2,"['cybersecurity', 'c++', 'python', 'excel', 'sql']",['data'],Coursera ML,Data Scientist
f2bbe3d0,Diploma,3,"['cybersecurity', 'digital marketing', 'html', 'networking', 'azure']",['marketing'],AWS Certification,Digital Marketer
317a3b49,Diploma,6,"['machine learning', 'seo', 'c++']",['ai'],None,Data Scientist
93ae9409,MBA,4,"['react', 'data analysis', 'azure']",['ai'],Coursera ML,Data Scientist
c51495c3,Diploma,1,"['power bi', 'aws', 'figma', 'product management', 'html', 'cloud computing']",['ai'],Google Data Analytics,Cloud Engineer
b4aa6ae2,Diploma,3,"['ui/ux', 'deep learning', 'figma']",['design'],Google Data Analytics,UI/UX Designer
74038df6,MCA,2,"['javascript', 'networking', 'python']",['data'],AWS Certification,Data Scientist
4f6e4666,MBA,8,"['ui/ux', 'digital marketing', 'aws']",['marketing'],Google Data Analytics,Digital Marketer
5e0622ea,BTech,3,"['power bi', 'figma', 'ui/ux', 'machine learning', 'python', 'nodejs']",['design'],AWS Certification,UI/UX Designer
ce98c84c,MCA,5,"['figma', 'ui/ux', 'machine learning', 'python', 'nodejs', 'data analysis', 'sql']",['data'],Coursera ML,Data Scientist
d701a725,MBA,3,"['aws', 'digital marketing', 'react', 'machine learning', 'azure']",['web development'],AWS Certification,Web Developer
98b2d1c8,Diploma,7,"['machine learning', 'deep learning', 'java', 'figma']",['ai'],AWS Certification,ML Engineer
e2c71388,Diploma,9,"['ui/ux', 'machine learning', 'figma']",['design'],Azure Fundamentals,UI/UX Designer
ccea7345,BTech,0,"['ui/ux', 'nodejs', 'aws', 'python']",['web development'],Azure Fundamentals,Backend Developer
f844ea79,BCA,1,"['css', 'c++', 'cybersecurity', 'seo', 'networking', 'cloud computing']",['security'],None,Cybersecurity Analyst
c116dfcb,Diploma,3,"['deep learning', 'cybersecurity']",['security'],Udemy Web Dev,Cybersecurity Analyst
b00b2d3f,MBA,1,"['aws', 'product management', 'machine learning', 'deep learning', 'python']",['ai'],None,ML Engineer
6e78884f,BSc,6,"['product management', 'deep learning', 'power bi', 'cybersecurity']",['business'],AWS Certification,Product Manager
43c2d5b8,BCA,5,"['ui/ux', 'nodejs', 'data analysis', 'python']",['design'],AWS Certification,UI/UX Designer
2a393e7f,BSc,0,"['c++', 'machine learning', 'nodejs', 'sql', 'business']",['business'],Udemy Web Dev,Product Manager
a6e2a954,BTech,9,"['machine learning', 'cloud computing', 'python', 'data analysis', 'sql']",['ai'],Google Data Analytics,Data Scientist
4aafd795,MCA,3,"['digital marketing', 'react', 'content writing', 'seo', 'machine learning']",['marketing'],Google Data Analytics,Digital Marketer
d4715690,MBA,4,"['nodejs', 'figma']",['web development'],Udemy Web Dev,Backend Developer
39e1af1f,MCA,8,"['digital marketing', 'excel']",['business'],Coursera ML,Product Manager
f5d9b9f2,BTech,6,"['networking', 'content writing', 'python']",['marketing'],Coursera ML,Digital Marketer
081fea0c,Diploma,4,"['cloud computing', 'figma']",['design'],AWS Certification,UI/UX Designer
7a01d8c5,BSc,3,"['cloud computing', 'c++']",['ai'],Coursera ML,Cloud Engineer
6b5b94b2,BTech,3,"['css', 'seo', 'content writing']",['marketing'],None,Digital Marketer
d070a7a0,BTech,10,"['product management', 'ui/ux', 'business']",['business'],Coursera ML,Product Manager
a22ed6af,MBA,0,"['digital marketing', 'python', 'sql', 'java']",['web development'],AWS Certification,Backend Developer
499fe5ad,BCA,8,"['aws', 'java', 'machine learning', 'python', 'data analysis', 'sql']",['ai'],None,Data Scientist
8cc633bf,Diploma,3,"['networking', 'excel']",['business'],Google Data Analytics,Product Manager
f2230aeb,MCA,0,"['cybersecurity', 'react', 'html', 'ui/ux', 'javascript']",['web development'],Coursera ML,Web Developer
4e0c7bd9,BSc,9,"['react', 'javascript', 'machine learning', 'deep learning', 'nodejs']",['ai'],Udemy Web Dev,ML Engineer
41efbd52,MCA,3,"['aws', 'seo', 'html']",['marketing'],Udemy Web Dev,Digital Marketer
8d2bc916,BSc,1,"['aws', 'html']",['ai'],AWS Certification,ML Engineer
bf978f84,BSc,10,"['javascript', 'networking', 'figma']",['security'],None,Cybersecurity Analyst
35c88f49,BSc,3,"['c++', 'product management', 'tableau', 'content writing', 'seo']",['marketing'],AWS Certification,Digital Marketer
86ffaf8a,MCA,8,"['aws', 'c++', 'digital marketing', 'content writing', 'machine learning', 'networking', 'python']",['ai'],AWS Certification,ML Engineer
d51aecdd,BSc,5,"['aws', 'figma', 'digital marketing', 'react', 'ui/ux']",['design'],AWS Certification,UI/UX Designer
c6a40cc5,BCA,1,"['ui/ux', 'python']",['ai'],None,ML Engineer
fc8bcc7c,BSc,9,"['c++', 'figma', 'machine learning', 'python', 'data analysis', 'sql']",['ai'],Google Data Analytics,Data Scientist
4eb3ecb6,MBA,9,"['ui/ux', 'nodejs', 'aws']",['design'],Coursera ML,UI/UX Designer
d64fc88b,MCA,0,"['ui/ux', 'data analysis', 'sql', 'figma']",['design'],Azure Fundamentals,UI/UX Designer
e3f1c031,BSc,4,"['aws', 'cloud computing', 'sql', 'azure']",['ai'],Google Data Analytics,Cloud Engineer
ab0abbb7,MBA,2,"['networking', 'content writing', 'cybersecurity']",['security'],Coursera ML,Cybersecurity Analyst
2a99719f,BCA,10,"['aws', 'figma', 'machine learning', 'python', 'data analysis', 'sql']",['data'],Google Data Analytics,Data Scientist
f0d3d315,BSc,9,"['product management', 'networking', 'figma']",['design'],AWS Certification,UI/UX Designer
eef3729b,MCA,9,"['ui/ux', 'networking', 'cybersecurity']",['security'],None,Cybersecurity Analyst
1ca6afe9,BTech,2,"['ui/ux', 'machine learning', 'data analysis', 'python']",['ai'],Azure Fundamentals,Data Scientist
5e51ea1e,MBA,3,"['aws', 'c++', 'java', 'html', 'ui/ux', 'nodejs', 'sql']",['web development'],Coursera ML,Backend Developer
9c1b4710,Diploma,8,"['networking', 'cloud computing', 'seo', 'azure']",['ai'],Udemy Web Dev,Cloud Engineer
308e19c4,MBA,2,"['aws', 'c++', 'machine learning', 'deep learning', 'python', 'azure']",['ai'],None,ML Engineer
38fc3435,BCA,6,"['tableau', 'java', 'figma']",['design'],Coursera ML,UI/UX Designer
4064c265,BCA,6,"['aws', 'seo', 'python', 'excel', 'business']",['business'],Coursera ML,Product Manager
be0c9789,MBA,3,"['digital marketing', 'aws', 'cloud computing', 'azure']",['ai'],Azure Fundamentals,Cloud Engineer
a19cf278,MCA,4,"['machine learning', 'digital marketing', 'cloud computing', 'java']",['web development'],Coursera ML,Backend Developer
2c50b277,MBA,6,"['aws', 'digital marketing', 'content writing', 'seo', 'python', 'azure', 'nodejs']",['marketing'],None,Digital Marketer
e6d4d2bd,MBA,1,"['product management', 'networking', 'cybersecurity', 'azure']",['security'],Udemy Web Dev,Cybersecurity Analyst
beb14086,BTech,2,"['cloud computing', 'sql', 'python', 'tableau']",['web development'],Coursera ML,Backend Developer
4e095874,MCA,5,"['figma', 'react', 'ui/ux', 'machine learning', 'azure']",['design'],AWS Certification,UI/UX Designer
c602f080,Diploma,4,"['css', 'aws', 'javascript', 'cloud computing', 'python', 'azure']",['ai'],None,Cloud Engineer
a25ba494,Diploma,7,"['aws', 'java', 'machine learning', 'deep learning', 'python']",['ai'],None,ML Engineer
8d48267c,BSc,6,"['machine learning', 'data analysis', 'python', 'digital marketing']",['data'],Google Data Analytics,Data Scientist
bb4d1f27,MCA,3,"['data analysis', 'react', 'html']",['web development'],Google Data Analytics,Web Developer
da5ba9e9,BSc,4,"['product management', 'deep learning', 'ui/ux', 'figma']",['design'],None,UI/UX Designer
199a25f6,BSc,5,"['content writing', 'java', 'html', 'javascript', 'data analysis']",['web development'],Coursera ML,Web Developer
1664633c,BCA,10,"['data analysis', 'aws', 'cloud computing', 'azure']",['ai'],Google Data Analytics,Cloud Engineer
b14e16f1,BCA,0,"['cloud computing', 'cybersecurity', 'html', 'java']",['security'],Udemy Web Dev,Cybersecurity Analyst
2d96271f,BTech,3,"['aws', 'content writing', 'seo', 'machine learning', 'networking']",['marketing'],Azure Fundamentals,Digital Marketer
664f804a,MCA,7,"['c++', 'cybersecurity', 'html', 'java', 'networking']",['security'],AWS Certification,Cybersecurity Analyst
524e74dc,BTech,10,"['data analysis', 'java']",['web development'],Google Data Analytics,Backend Developer
78f0c6f8,BSc,0,"['tableau', 'content writing', 'java', 'react', 'nodejs', 'sql']",['web development'],Coursera ML,Backend Developer
19ab5f69,BTech,5,"['css', 'aws', 'digital marketing', 'machine learning', 'python', 'excel']",['ai'],Coursera ML,ML Engineer
5762356a,MBA,7,"['aws', 'figma', 'digital marketing', 'cloud computing', 'azure', 'nodejs']",['ai'],None,Cloud Engineer
4e77a2d8,BTech,1,"['product management', 'business', 'excel', 'figma']",['business'],AWS Certification,Product Manager
6e2c7776,BCA,0,"['css', 'data analysis']",['ai'],None,Data Scientist
9bd4be34,BSc,0,"['cybersecurity', 'digital marketing', 'html', 'deep learning', 'data analysis']",['marketing'],Google Data Analytics,Digital Marketer
32c8b9f6,BSc,0,"['data analysis', 'sql', 'cloud computing']",['data'],None,Data Scientist
a6c2ccf8,MCA,5,"['javascript', 'react', 'content writing', 'python']",['marketing'],Coursera ML,Digital Marketer
bf268465,BCA,2,"['c++', 'tableau', 'java', 'nodejs', 'sql']",['web development'],Udemy Web Dev,Backend Developer
565611f8,BTech,7,"['ui/ux', 'machine learning', 'cloud computing', 'python']",['design'],AWS Certification,UI/UX Designer
96d05f76,MCA,4,"['machine learning', 'aws', 'python', 'java']",['ai'],Google Data Analytics,ML Engineer
47771a2e,MBA,1,"['c++', 'machine learning', 'python', 'data analysis', 'sql']",['data'],Google Data Analytics,Data Scientist
ec1772be,MBA,6,"['power bi', 'networking', 'seo', 'cybersecurity']",['security'],Azure Fundamentals,Cybersecurity Analyst
8338cd55,BSc,5,"['machine learning', 'python', 'aws']",['ai'],Azure Fundamentals,ML Engineer
82d9bde7,MCA,10,"['power bi', 'react', 'content writing', 'html', 'javascript']",['web development'],None,Web Developer
632ed409,BSc,6,"['javascript', 'nodejs', 'sql']",['web development'],Coursera ML,Backend Developer
10047d9e,MBA,3,"['product management', 'nodejs']",['web development'],Coursera ML,Backend Developer
c6630cbe,MBA,7,"['ui/ux', 'digital marketing', 'react', 'content writing']",['marketing'],AWS Certification,Digital Marketer
b1cfb937,BTech,0,"['css', 'data analysis', 'react', 'html']",['web development'],None,Web Developer
8cb58887,BTech,4,"['aws', 'cloud computing', 'html', 'java']",['ai'],Udemy Web Dev,Cloud Engineer
fa6aff76,BTech,8,"['c++', 'figma', 'ui/ux', 'cloud computing', 'excel']",['design'],AWS Certification,UI/UX Designer
15940b8e,Diploma,6,"['css', 'react', 'html', 'javascript', 'deep learning', 'excel', 'sql']",['web development'],AWS Certification,Web Developer
c8740824,BCA,5,"['nodejs', 'digital marketing', 'cloud computing', 'seo']",['marketing'],Coursera ML,Digital Marketer
931df4ce,MBA,1,"['content writing', 'java', 'html', 'cloud computing', 'nodejs', 'sql']",['web development'],Google Data Analytics,Backend Developer
5cdbf49c,BTech,3,"['cybersecurity', 'c++', 'seo', 'machine learning', 'data analysis']",['security'],Azure Fundamentals,Cybersecurity Analyst
46dac42f,BTech,2,"['content writing', 'html', 'machine learning', 'python', 'data analysis', 'sql']",['data'],Azure Fundamentals,Data Scientist
2232b7dd,MCA,9,"['figma', 'ui/ux', 'machine learning', 'networking', 'python', 'sql']",['data'],Udemy Web Dev,Data Scientist
c9ae3b2a,Diploma,4,"['machine learning', 'networking', 'cybersecurity']",['security'],Coursera ML,Cybersecurity Analyst
a9131c38,MCA,8,"['c++', 'react', 'content writing', 'javascript', 'deep learning', 'python']",['web development'],AWS Certification,Web Developer
c474e32b,MCA,9,"['machine learning', 'aws', 'deep learning', 'excel']",['ai'],Coursera ML,ML Engineer
f70e9013,Diploma,10,"['css', 'networking', 'deep learning', 'cybersecurity']",['ai'],Udemy Web Dev,ML Engineer
16dc957b,BSc,7,"['seo', 'content writing', 'networking', 'python', 'nodejs']",['marketing'],Azure Fundamentals,Digital Marketer
5d2089c0,MCA,2,"['aws', 'machine learning', 'deep learning', 'python', 'excel']",['ai'],Udemy Web Dev,ML Engineer
66b14139,BCA,10,"['machine learning', 'data analysis', 'python', 'excel']",['data'],None,Data Scientist
d0ca62c7,Diploma,4,"['ui/ux', 'deep learning', 'figma']",['design'],None,UI/UX Designer
7f67b011,BSc,10,"['aws', 'tableau', 'react', 'networking', 'cloud computing', 'azure']",['ai'],Google Data Analytics,Cloud Engineer
05d124f3,BCA,9,"['cybersecurity', 'digital marketing', 'content writing', 'seo', 'azure']",['marketing'],Google Data Analytics,Digital Marketer
c8c2ef54,BTech,0,"['cybersecurity', 'digital marketing', 'react', 'seo', 'content writing', 'tableau', 'javascript']",['marketing'],Coursera ML,Digital Marketer
82709080,BTech,5,"['css', 'figma', 'product management', 'html', 'networking']",['web development'],AWS Certification,Web Developer
6cf660cb,BSc,2,"['css', 'react', 'html', 'javascript', 'machine learning', 'cloud computing', 'data analysis']",['web development'],Azure Fundamentals,Web Developer
0d15eab0,MBA,10,"['aws', 'javascript', 'machine learning', 'deep learning', 'python']",['ai'],Coursera ML,ML Engineer
1d9b5221,Diploma,2,"['product management', 'ui/ux', 'python', 'excel', 'nodejs', 'business']",['business'],Google Data Analytics,Product Manager
65a34e90,BCA,4,"['machine learning', 'digital marketing', 'java', 'html']",['marketing'],None,Digital Marketer
b5331adc,MBA,1,"['ui/ux', 'aws', 'networking']",['ai'],Google Data Analytics,Cloud Engineer
e68b33d8,BCA,0,"['cloud computing', 'java', 'figma']",['design'],None,UI/UX Designer
da033e3e,BTech,2,"['java', 'javascript', 'deep learning', 'azure', 'data analysis']",['data'],Coursera ML,Data Scientist
b4579183,BTech,7,"['c++', 'tableau', 'machine learning', 'python', 'data analysis']",['ai'],Azure Fundamentals,Data Scientist
f0e04117,BSc,5,"['css', 'react', 'tableau', 'javascript', 'data analysis']",['web development'],Udemy Web Dev,Web Developer
cc6f3017,Diploma,0,"['aws', 'figma', 'content writing', 'seo', 'machine learning', 'sql']",['ai'],AWS Certification,ML Engineer
285e550b,BSc,8,"['aws', 'c++', 'ui/ux', 'machine learning', 'deep learning', 'python']",['ai'],None,ML Engineer
b7f32020,Diploma,1,"['css', 'react', 'html', 'deep learning', 'python', 'nodejs', 'data analysis']",['web development'],Coursera ML,Web Developer
557585bc,MBA,1,"['data analysis', 'sql', 'java', 'excel']",['web development'],Azure Fundamentals,Backend Developer
e672ec5e,Diploma,5,"['css', 'cybersecurity', 'javascript', 'excel', 'data analysis']",['business'],AWS Certification,Product Manager
91eff684,MBA,2,"['digital marketing', 'react', 'content writing', 'seo']",['marketing'],Azure Fundamentals,Digital Marketer
3b51feae,Diploma,10,"['cybersecurity', 'product management', 'digital marketing', 'seo', 'content writing', 'data analysis']",['marketing'],Udemy Web Dev,Digital Marketer
22ca1a90,BTech,6,"['product management', 'java', 'python', 'nodejs', 'sql']",['web development'],Google Data Analytics,Backend Developer
7c873db5,BCA,7,"['networking', 'sql', 'java', 'figma']",['web development'],Google Data Analytics,Backend Developer
263df4d2,MCA,2,"['power bi', 'aws', 'machine learning', 'deep learning', 'python']",['ai'],Udemy Web Dev,ML Engineer
da128643,MCA,6,"['css', 'python', 'excel', 'azure', 'data analysis', 'sql']",['ai'],None,Data Scientist
7d54a5d9,BCA,2,"['power bi', 'machine learning', 'cloud computing', 'python', 'nodejs', 'data analysis', 'sql']",['ai'],AWS Certification,Data Scientist
1ef24081,MBA,8,"['ui/ux', 'nodejs', 'networking', 'azure']",['ai'],Azure Fundamentals,Cloud Engineer
1b1872fd,MBA,7,"['ui/ux', 'data analysis', 'seo', 'excel']",['business'],AWS Certification,Product Manager
45082044,BTech,5,"['product management', 'networking', 'cybersecurity']",['security'],None,Cybersecurity Analyst
9a9d2c87,MBA,0,"['cybersecurity', 'figma', 'digital marketing', 'java', 'html', 'nodejs', 'sql']",['web development'],None,Backend Developer
e4602d7e,BTech,2,"['aws', 'content writing', 'cloud computing', 'azure', 'sql']",['ai'],AWS Certification,Cloud Engineer
d5f7ec9e,MBA,7,"['aws', 'figma', 'machine learning', 'cloud computing', 'python', 'azure']",['ai'],Azure Fundamentals,Cloud Engineer
6ea8f83b,MBA,2,"['seo', 'cybersecurity']",['security'],None,Cybersecurity Analyst
28da1b0e,MBA,6,"['css', 'java', 'javascript', 'python', 'azure', 'nodejs']",['web development'],Azure Fundamentals,Web Developer
cc390241,MCA,1,"['c++', 'cybersecurity', 'machine learning', 'networking', 'deep learning', 'cloud computing']",['security'],Coursera ML,Cybersecurity Analyst
3acda702,BTech,2,"['css', 'react', 'power bi', 'python']",['web development'],Udemy Web Dev,Web Developer
62131777,MCA,10,"['aws', 'seo', 'cloud computing', 'azure', 'nodejs', 'data analysis']",['ai'],Azure Fundamentals,Cloud Engineer
e3373ba3,BCA,1,"['data analysis', 'cybersecurity']",['security'],Azure Fundamentals,Cybersecurity Analyst
af5d8ebc,BCA,5,"['nodejs', 'data analysis', 'cloud computing']",['data'],None,Data Scientist
7734218b,BSc,2,"['ui/ux', 'javascript']",['design'],None,UI/UX Designer
28467bf8,MCA,2,"['figma', 'azure']",['ai'],Google Data Analytics,Cloud Engineer
1d947e80,MCA,7,"['c++', 'product management', 'java', 'python', 'data analysis', 'sql']",['ai'],Azure Fundamentals,Data Scientist
fc9ef684,BTech,9,"['product management', 'tableau', 'business', 'figma']",['business'],Google Data Analytics,Product Manager
38a2932d,BTech,4,"['c++', 'figma', 'react', 'html', 'javascript']",['web development'],Coursera ML,Web Developer
b047e294,MBA,1,"['html', 'figma']",['design'],Google Data Analytics,UI/UX Designer
15eabe56,MCA,0,"['content writing', 'java', 'html', 'nodejs', 'sql']",['web development'],AWS Certification,Backend Developer
fa4736d7,BSc,9,"['aws', 'tableau', 'seo', 'ui/ux', 'cloud computing', 'python']",['ai'],Azure Fundamentals,Cloud Engineer
719aec84,BCA,2,"['css', 'aws', 'c++', 'seo', 'cloud computing', 'azure']",['ai'],None,Cloud Engineer
1cfb99a4,MBA,5,"['networking', 'digital marketing', 'cybersecurity']",['security'],AWS Certification,Cybersecurity Analyst
af97ecc8,BSc,7,"['java', 'figma']",['design'],Coursera ML,UI/UX Designer
c782b58b,MBA,1,"['ui/ux', 'digital marketing', 'seo', 'excel']",['marketing'],Udemy Web Dev,Digital Marketer
e4c81c71,MCA,2,"['excel', 'cybersecurity', 'html']",['security'],None,Cybersecurity Analyst
a33e2c34,MCA,6,"['aws', 'c++', 'product management', 'tableau', 'excel']",['business'],None,Product Manager
5df77784,MBA,8,"['machine learning', 'sql', 'cybersecurity', 'content writing']",['ai'],Udemy Web Dev,Data Scientist
01573d5e,BSc,8,"['cybersecurity', 'react', 'html', 'ui/ux', 'nodejs']",['web development'],Google Data Analytics,Backend Developer
b15bf768,BSc,4,"['digital marketing', 'sql', 'java']",['web development'],Coursera ML,Backend Developer
7da53347,MBA,0,"['nodejs', 'sql', 'java', 'figma']",['web development'],None,Backend Developer
b94394bf,BTech,7,"['tableau', 'figma']",['design'],AWS Certification,UI/UX Designer
075ec066,Diploma,1,"['machine learning', 'data analysis', 'cloud computing']",['ai'],Google Data Analytics,Data Scientist
49bcef03,BCA,5,"['product management', 'digital marketing', 'content writing']",['marketing'],AWS Certification,Digital Marketer
63c8b33f,MCA,6,"['html', 'c++', 'figma']",['design'],Coursera ML,UI/UX Designer
976f73cc,BSc,2,"['ui/ux', 'nodejs', 'content writing', 'java']",['web development'],Google Data Analytics,Backend Developer
90815d00,BCA,3,"['content writing', 'java', 'excel', 'seo']",['marketing'],Azure Fundamentals,Digital Marketer
8eafa721,BSc,4,"['seo', 'java', 'ui/ux', 'nodejs', 'sql']",['web development'],Udemy Web Dev,Backend Developer
4c7884b7,BTech,0,"['machine learning', 'data analysis', 'sql', 'cybersecurity']",['ai'],Azure Fundamentals,Data Scientist
a22b6671,BCA,7,"['ui/ux', 'java']",['design'],None,UI/UX Designer
a167d724,BSc,9,"['cybersecurity', 'figma', 'html', 'python', 'excel']",['design'],Azure Fundamentals,UI/UX Designer
da925689,MCA,1,"['machine learning', 'python', 'azure', 'data analysis', 'sql']",['ai'],Udemy Web Dev,Data Scientist
9e38ebd2,BTech,9,"['power bi', 'deep learning', 'python']",['ai'],Azure Fundamentals,ML Engineer
acf4f7dc,MCA,2,"['aws', 'figma', 'product management', 'machine learning', 'python']",['ai'],AWS Certification,ML Engineer
679103da,BSc,2,"['power bi', 'content writing', 'html', 'javascript', 'python']",['web development'],Coursera ML,Web Developer
795709f0,MCA,5,"['product management', 'digital marketing', 'business', 'excel']",['business'],AWS Certification,Product Manager
40272839,MBA,9,"['power bi', 'html']",['web development'],None,Web Developer
bb8a63cc,Diploma,6,"['aws', 'html', 'javascript', 'cloud computing', 'nodejs']",['ai'],Azure Fundamentals,Cloud Engineer
c3f6ebfa,BCA,2,"['product management', 'content writing', 'javascript', 'machine learning', 'python', 'data analysis', 'sql']",['ai'],Google Data Analytics,Data Scientist
db3d9d4a,MCA,5,"['digital marketing', 'content writing']",['marketing'],Coursera ML,Digital Marketer
